name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
"Ajani, Caller of the Pride",{1}{W}{W},3,W,D. Alexander Gregory,1,Planeswalker — Ajani,"+1: Put a +1/+1 counter on up to one target creature.\n−3: Target creature gains flying and double strike until end of turn.\n−8: Put X 2/2 white Cat creature tokens onto the battlefield, where X is your life total.","pMEI,M13,M14",,normal,370680,,,Mythic Rare,Ajani,Planeswalker
Ajani's Chosen,{2}{W}{W},4,W,Wayne Reynolds,2,Creature — Cat Soldier,"Whenever an enchantment enters the battlefield under your control, put a 2/2 white Cat creature token onto the battlefield. If that enchantment is an Aura, you may attach it to the token.","M14,C15","""United, our roar will level mountains.""",normal,370750,3,3,Rare,"Cat,Soldier",Creature
Angelic Accord,{3}{W},4,W,Michael C. Hayes,3,Enchantment,"At the beginning of each end step, if you gained 4 or more life this turn, put a 4/4 white Angel creature token with flying onto the battlefield.",M14,"As demons are drawn to suffering, angels are drawn to acts of benevolence.",normal,370612,,,Uncommon,,Enchantment
Angelic Wall,{1}{W},2,W,Allen Williams,4,Creature — Wall,Defender (This creature can't attack.)\nFlying,"PO2,ODY,10E,AVR,M14","""The air stirred as if fanned by angels' wings, and the enemy was turned aside.""\n—Tales of Ikarov the Voyager",normal,370789,0,4,Common,Wall,Creature
Archangel of Thune,{3}{W}{W},5,W,James Ryman,5,Creature — Angel,"Flying\nLifelink (Damage dealt by this creature also causes you to gain that much life.)\nWhenever you gain life, put a +1/+1 counter on each creature you control.",M14,Even the wicked have nightmares.,normal,370627,3,4,Mythic Rare,Angel,Creature
Auramancer,{2}{W},3,W,Rebecca Guay,6,Creature — Human Wizard,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.","ODY,pWPN,M12,PC2,M14,DDL,ORI","""In memories, we can find our deepest reserves of strength.""",normal,370793,2,2,Common,"Human,Wizard",Creature
Banisher Priest,{1}{W}{W},3,W,Willian Murai,7,Creature — Human Cleric,"When Banisher Priest enters the battlefield, exile target creature an opponent controls until Banisher Priest leaves the battlefield. (That creature returns under its owner's control.)","pFNM,M14,DDO","""Oathbreaker, I cast you out!""",normal,370624,2,2,Uncommon,"Human,Cleric",Creature
Blessing,{W}{W},2,W,Jason A. Engle,8,Enchantment — Aura,Enchant creature\n{W}: Enchanted creature gets +1/+1 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,M14","""Virtue can't survive without strength.""\n—Ardanna of the Angelic Council",normal,370819,,,Uncommon,Aura,Enchantment
Bonescythe Sliver,{3}{W},4,W,Trevor Claxton,9,Creature — Sliver,Sliver creatures you control have double strike. (They deal both first-strike and regular combat damage.),"pMEI,M14","""Their appendages are sharper than our swords and quicker than our bows.""\n—Hastric, Thunian scout",normal,370801,2,2,Rare,Sliver,Creature
Brave the Elements,{W},1,W,Goran Josic,10,Instant,Choose a color. White creatures you control gain protection from the chosen color until end of turn.,"pMPR,ZEN,M14,C14",,normal,370816,,,Uncommon,,Instant
Capashen Knight,{1}{W},2,W,Jasper Sandner,11,Creature — Human Knight,First strike (This creature deals combat damage before creatures without first strike.)\n{1}{W}: Capashen Knight gets +1/+0 until end of turn.,"UDS,M14",He protects Benalia as much with his reputation as with his force of arms.,normal,370821,1,1,Common,"Human,Knight",Creature
Celestial Flare,{W}{W},2,W,Clint Cearley,12,Instant,Target player sacrifices an attacking or blocking creature.,"M14,DDO,ORI","""You were defeated the moment you declared your aggression.""\n—Gideon Jura",normal,370666,,,Common,,Instant
Charging Griffin,{3}{W},4,W,Erica Yang,13,Creature — Griffin,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever Charging Griffin attacks, it gets +1/+1 until end of turn.","M14,ORI","Four claws, two wings, one beak, no fear.",normal,370768,2,2,Common,Griffin,Creature
Congregate,{3}{W},4,W,Mark Zug,14,Instant,Target player gains 2 life for each creature on the battlefield.,"USG,HOP,CMD,M14,M15","""In the gathering there is strength for all who founder, renewal for all who languish, love for all who sing.""\n—Song of All, canto 642",normal,370804,,,Uncommon,,Instant
Dawnstrike Paladin,{3}{W}{W},5,W,Tyler Jacobson,15,Creature — Human Knight,Vigilance (Attacking doesn't cause this creature to tap.)\nLifelink (Damage dealt by this creature also causes you to gain that much life.),"M14,DDL",She crushes darkness beneath her charger's hooves.,normal,370721,2,4,Common,"Human,Knight",Creature
Devout Invocation,{6}{W},7,W,David Palumbo,16,Sorcery,Tap any number of untapped creatures you control. Put a 4/4 white Angel creature token with flying onto the battlefield for each creature tapped this way.,M14,A prayer to bring demons to their knees.,normal,370726,,,Mythic Rare,,Sorcery
Divine Favor,{1}{W},2,W,Allen Williams,17,Enchantment — Aura,"Enchant creature\nWhen Divine Favor enters the battlefield, you gain 3 life.\nEnchanted creature gets +1/+3.","M12,M13,M14,M15","With an armory of light, even the squire may champion her people.",normal,370748,,,Common,Aura,Enchantment
Fiendslayer Paladin,{1}{W}{W},3,W,Wesley Burt,18,Creature — Human Knight,First strike (This creature deals combat damage before creatures without first strike.)\nLifelink (Damage dealt by this creature also causes you to gain that much life.)\nFiendslayer Paladin can't be the target of black or red spells your opponents control.,M14,,normal,370786,2,2,Rare,"Human,Knight",Creature
Fortify,{2}{W},3,W,Christopher Moeller,19,Instant,Choose one —\n• Creatures you control get +2/+0 until end of turn.\n• Creatures you control get +0/+2 until end of turn.,"TSP,M14,MM2","""Where metal is tainted and wood is scarce, we are best armed by faith.""\n—Tavalus, acolyte of Korlis",normal,370712,,,Common,,Instant
Griffin Sentinel,{2}{W},3,W,Warren Mahy,20,Creature — Griffin,Flying\nVigilance (Attacking doesn't cause this creature to tap.),"M10,M12,M14","Once a griffin sentinel adopts a territory as its own, only death can force it to betray its post.",normal,370792,1,3,Common,Griffin,Creature
Hive Stirrings,{2}{W},3,W,Maciej Kuciara,21,Sorcery,Put two 1/1 colorless Sliver creature tokens onto the battlefield.,"pMGD,M14",Sliver young are sorted into clutches according to their potential and their future role. Human scholars can only guess how those are determined.,normal,370817,,,Common,,Sorcery
Imposing Sovereign,{1}{W},2,W,Scott M. Fischer,22,Creature — Human,Creatures your opponents control enter the battlefield tapped.,M14,Some are born to rule. The rest are born to bow before them.,normal,370770,2,1,Rare,Human,Creature
Indestructibility,{3}{W},4,W,Darrell Riche,23,Enchantment — Aura,"Enchant permanent\nEnchanted permanent has indestructible. (Effects that say ""destroy"" don't destroy that permanent. A creature with indestructible can't be destroyed by damage.)","M10,M14","""By all means, keep trying.""",normal,370673,,,Rare,Aura,Enchantment
